"Tanggal","Jenis.Produk","Jumlah.Order","Harga","Total","Bulan","Tahun"
2023-10-18,"FoodpakMatte245",2000,1000,2000000,10,2023
2023-10-18,"Dupleks310",1000,1800,1800000,10,2023
2023-10-19,"Ivory250",1000,700,700000,10,2023
2023-10-19,"Dupleks270",1000,1900,1900000,10,2023
2023-10-20,"Ivory230",1000,950,950000,10,2023
2023-10-20,"CraftLaminasi",1000,900,900000,10,2023
2023-10-20,"CraftLaminasi",1000,900,900000,10,2023
2023-10-20,"HVS",20000,250,5000000,10,2023
2023-10-20,"FoodpakMatte245",1000,2400,2400000,10,2023
2023-10-21,"Ivory300",1000,3000,3000000,10,2023
2023-10-21,"CraftLaminasi",1000,900,900000,10,2023
2023-10-21,"Dupleks310",1000,1450,1450000,10,2023
2023-10-23,"CraftLaminasi290",1000,1400,1400000,10,2023
2023-10-23,"Ivory250",1000,1550,1550000,10,2023
2023-10-23,"CraftLaminasi",1000,1700,1700000,10,2023
2023-10-23,"Dupleks310",1000,1700,1700000,10,2023
2023-10-24,"FoodpakMatte245",1000,1700,1700000,10,2023
2023-10-24,"Dupleks310",1000,1700,1700000,10,2023
2023-10-24,"CraftLaminasi8",1000,1200,1200000,10,2023
2023-10-25,"Unbleaching",1000,400,400000,10,2023
2023-10-25,"Dupleks310",1000,1700,1700000,10,2023
2023-10-25,"Ivory350",10000,900,9000000,10,2023
2023-10-25,"Ivory350",4000,900,3600000,10,2023
2023-10-25,"GreaseProof",1000,300,300000,10,2023
2023-10-26,"Ivory270",2000,1800,3600000,10,2023
2023-10-26,"Ivory270",1000,2100,2100000,10,2023
2023-10-27,"GreaseProof",1000,300,300000,10,2023
2023-10-28,"CraftLaminasi290",1500,800,1200000,10,2023
2023-10-28,"CraftLaminasi290",1000,875,875000,10,2023
2023-10-28,"CraftLaminasi290",1000,850,850000,10,2023
2023-10-28,"Dupleks310",1000,1700,1700000,10,2023
2023-10-29,"Ivory230",3500,800,2800000,10,2023
2023-10-29,"Dupleks270",2000,1400,2800000,10,2023
2023-10-30,"Dupleks350",1000,3000,3000000,10,2023
2023-10-30,"Dupleks350",3000,250,750000,10,2023
2023-10-30,"FoodpakMatte245",4000,1500,6000000,10,2023
2023-10-30,"Ivory230",1000,1350,1350000,10,2023
2023-10-31,"FoodpakMatte245",2000,1000,2000000,10,2023
2023-11-01,"Bowl650mlCIS",5000,1700,8500000,11,2023
2023-11-02,"Dupleks310P",1000,2250,2250000,11,2023
2023-11-02,"Dupleks350P",1000,2250,2250000,11,2023
2023-11-03,"FoodpakMatte245",1000,1600,1600000,11,2023
2023-11-03,"FoodpakMatte245",1000,1600,1600000,11,2023
2023-11-03,"Dupleks310",2000,1600,3200000,11,2023
2023-11-03,"Kinstruk150gsm",500,500,250000,11,2023
2023-11-03,"FoodpakMatte245",1000,1500,1500000,11,2023
2023-11-04,"Dupleks270",1000,2000,2000000,11,2023
2023-11-06,"Dupleks270",4000,1400,5600000,11,2023
2023-11-06,"GreaseProof",3500,250,875000,11,2023
2023-11-07,"Dupleks310Eplex",2000,1800,3600000,11,2023
2023-11-07,"Ivory270",1000,2500,2500000,11,2023
2023-11-07,"Ivory270",1000,2100,2100000,11,2023
2023-11-07,"Ivory270",1000,2100,2100000,11,2023
2023-11-07,"Ivory270",1000,2100,2100000,11,2023
2023-11-07,"Ivory250",1000,1500,1500000,11,2023
2023-11-07,"FoodpakMatte245",1000,1500,1500000,11,2023
2023-11-08,"Ivory230",3500,1100,3850000,11,2023
2023-11-08,"Foodpak260Glossy",5000,1450,7250000,11,2023
2023-11-09,"Dupleks350",2000,1975,3950000,11,2023
2023-11-09,"CraftLaminasi290",2000,1600,3200000,11,2023
2023-11-09,"Dupleks310",1000,1500,1500000,11,2023
2023-11-10,"Ivory230",1000,1400,1400000,11,2023
2023-11-10,"Ivory230",1000,1600,1600000,11,2023
2023-11-11,"Dupleks310",1000,1900,1900000,11,2023
2023-11-11,"Dupleks310",1000,1900,1900000,11,2023
2023-11-11,"Dupleks350",1000,1700,1700000,11,2023
2023-11-11,"Dupleks350",3500,2000,7000000,11,2023
2023-11-11,"Dupleks350",3500,1900,6650000,11,2023
2023-11-11,"Dupleks350",3000,1600,4800000,11,2023
2023-11-12,"Foodpak260Matte",3000,1200,3600000,11,2023
2023-11-13,"Dupleks350",2000,1600,3200000,11,2023
2023-11-14,"FoodpakGlossy",500,2650,1325000,11,2023
2023-11-14,"FoodpakGlossy",500,2650,1325000,11,2023
2023-11-14,"FoodpakGlossy",500,2650,1325000,11,2023
2023-11-14,"FoodpakGlossy",500,2650,1325000,11,2023
2023-11-14,"Dupleks270Laminating",1000,2000,2000000,11,2023
2023-11-14,"Ivory230",1000,1300,1300000,11,2023
2023-11-14,"Ivory230",1000,900,900000,11,2023
